Area;Perimeter;MajorAxisLength;MinorAxisLength;Compactness;Class
4,0486;7,27273;2,44537238;2,110640645;0,92845849;SEKER
2,6614;5,98639;2,204256253;1,54085455;0,835118403;DERMASON
5,6334;9,89798;3,727248213;1,935389833;0,718541802;HOROZ
3,1534;6,55093;2,414660024;1,665977529;0,829828982;DERMASON
3,4014;6,81258;2,529275604;1,714126012;0,822787638;DERMASON
3,598;7,1063;2,599490691;1,768295109;0,823374423;DERMASON
6,3944;9,91765;3,922073851;2,08165323;0,727510377;HOROZ
2,732;6,15902;2,327768483;1,499210126;0,801227087;DERMASON
3,3583;6,57754;2,217110512;1,929504091;0,93266883;SEKER
4,5226;8,27481;3,382253275;1,707677124;0,709484681;HOROZ
2,5032;5,85495;2,192763506;1,457923911;0,814162396;DERMASON
2,4545;5,84164;2,219685464;1,411223374;0,796425468;DERMASON
3,5608;6,89304;2,40389455;1,888797386;0,885754642;SEKER
3,2802;7,12924;2,436567001;1,742200369;0,83873905;DERMASON
7,0304;10,58424;4,375059023;2,053414761;0,683850487;HOROZ
3,2218;6,53595;2,227560714;1,844046839;0,90923218;SEKER
3,0502;6,41008;2,287848135;1,699916744;0,861374527;DERMASON
6,7237;10,16057;4,099005074;2,101520901;0,713806942;HOROZ
5,2968;9,2479;3,87708889;1,747193865;0,669816881;HOROZ
3,0439;6,5008;2,547344625;1,523698789;0,772827462;DERMASON
3,7894;7,19216;2,675446754;1,809072851;0,821001541;DERMASON
3,4623;6,75213;2,281943707;1,935033005;0,920094597;SEKER
3,2314;6,63884;2,474085741;1,66732697;0,819852402;DERMASON
4,3928;7,62262;2,62151106;2,138427879;0,902140293;SEKER
2,7701;6,08531;2,162770942;1,633215209;0,868344898;DERMASON
3,7781;7,38792;2,832345962;1,702064106;0,774364587;HOROZ
4,5005;8,37605;3,417588229;1,703703374;0,700431561;HOROZ
3,9746;7,39528;2,810465799;1,807617178;0,800430205;DERMASON
5,2213;9,00059;3,682535374;1,81332872;0,700160257;HOROZ
3,6299;6,93838;2,437414222;1,898014847;0,882009065;SEKER
3,8042;7,23178;2,439204105;1,988758364;0,902274301;SEKER
5,9663;9,73132;3,945178831;1,940444291;0,69861983;HOROZ
3,6609;6,88123;2,243725593;2,079820031;0,962230792;SEKER
2,7409;6,41327;2,327359075;1,504572906;0,802672273;DERMASON
3,3171;6,54338;2,22253649;1,903614532;0,924667176;SEKER
5,3316;9,35056;3,788140396;1,797800154;0,687793033;HOROZ
6,1505;9,82866;3,957615143;2,033704923;0,707093283;HOROZ
3,033;6,45992;2,430060961;1,592067557;0,808675147;DERMASON
5,5668;9,20338;3,721519948;1,915956406;0,715381191;HOROZ
5,1258;9,04151;3,79080737;1,729812576;0,673913523;HOROZ
3,894;7,15812;2,415768501;2,05474267;0,921717257;SEKER
3,6919;7,06713;2,488840072;1,890083083;0,871130126;SEKER
4,1376;7,33668;2,607469508;2,023572387;0,880258186;SEKER
2,6688;5,99831;2,160724393;1,576687008;0,853127024;DERMASON
2,8487;6,28227;2,16449322;1,684747024;0,87987745;DERMASON
5,7778;9,37572;3,800172916;1,954643071;0,713728359;HOROZ
2,8654;6,36062;2,367389484;1,545394214;0,806822449;DERMASON
3,5217;7,15405;2,755889968;1,631102827;0,768368167;DERMASON
3,5384;7,01617;2,687483673;1,680076422;0,789791923;DERMASON
2,9815;6,31602;2,288520263;1,663361332;0,851368748;DERMASON
5,8869;10,11122;4,182336882;1,801421057;0,654605088;HOROZ
5,3027;9,10442;3,757425792;1,806354243;0,691533424;HOROZ
2,7662;6,25096;2,380967012;1,486065969;0,788212775;DERMASON
3,1612;6,65691;2,399569618;1,682363971;0,836079724;DERMASON
5,7371;9,59093;4,025313903;1,822267305;0,671431197;HOROZ
6,0239;9,6628;3,941802448;1,959888345;0,702585336;HOROZ
3,6813;6,91769;2,43007473;1,933256032;0,890914517;SEKER
5,486;9,11589;3,697305;1,898428757;0,714821626;HOROZ
4,7171;8,60849;3,48027196;1,743526498;0,70417308;HOROZ
3,6707;6,97665;2,443788346;1,915007484;0,884638662;SEKER
4,3968;7,63577;2,618395724;2,14330122;0,90362478;SEKER
5,4861;9,12768;3,617302884;1,953273283;0,730637644;HOROZ
3,0537;6,46047;2,450354323;1,592101645;0,804709921;DERMASON
2,6386;5,86497;2,040168473;1,650594356;0,898412542;DERMASON
3,7365;7,00139;2,475682939;1,923189911;0,881033716;SEKER
3,172;6,60858;2,479994942;1,632366092;0,810346673;DERMASON
5,9479;9,61314;3,947540886;1,932560099;0,697124348;HOROZ
3,3795;6,90578;2,563516827;1,681214356;0,809179948;DERMASON
3,7248;7,05116;2,322710332;2,044789927;0,937586805;SEKER
3,4079;6,86949;2,513405216;1,730145374;0,828773715;DERMASON
3,1344;6,64552;2,474443435;1,621403108;0,80733678;DERMASON
5,4628;9,43267;3,882664325;1,813758193;0,679255032;HOROZ
3,7423;7,20829;2,659007566;1,798417138;0,820927466;DERMASON
2,8264;6,31777;2,412246842;1,498201765;0,786411988;DERMASON
3,4844;7,02976;2,687728252;1,654185644;0,783670873;DERMASON
2,7566;6,24367;2,362875497;1,493493441;0,792868377;DERMASON
3,0735;6,4376;2,322038524;1,68973512;0,851926735;DERMASON
4,9825;9,07244;3,6870454;1,73375271;0,683125076;HOROZ
4,057;7,37047;2,487193482;2,083152297;0,913793348;SEKER
3,8311;7,25439;2,694731238;1,818148409;0,819598862;DERMASON
3,0349;6,47812;2,430052001;1,593263012;0,808931384;DERMASON
2,6584;6,08165;2,206112556;1,539603325;0,833945284;DERMASON
5,7765;9,63255;3,975883825;1,86155782;0,682108972;HOROZ
3,8542;7,23764;2,547115957;1,929009219;0,869708003;SEKER
3,394;6,86235;2,613401667;1,655894372;0,795435216;DERMASON
3,0768;6,47162;2,365545568;1,658821221;0,836706946;DERMASON
4,388;7,56327;2,562454805;2,186627679;0,922427314;SEKER
3,6474;6,9009;2,338446496;1,988087511;0,921550881;SEKER
3,8619;7,27785;2,731315577;1,80360902;0,811864758;DERMASON
4,4192;7,69732;2,759459448;2,042958668;0,859612796;SEKER
3,9108;7,17398;2,56096468;1,948200229;0,871333223;SEKER
3,6536;6,87345;2,315417418;2,012117885;0,9315073;SEKER
3,0579;6,53591;2,435735419;1,601447908;0,810096186;DERMASON
3,6076;6,93745;2,435262185;1,891972144;0,880072647;SEKER
3,9621;7,33765;2,563900083;1,970049405;0,876025361;SEKER
2,9002;6,43039;2,471040501;1,497897089;0,777658941;DERMASON
3,0626;6,70667;2,428937507;1,614059465;0,812987479;DERMASON
2,4053;5,91446;2,325720529;1,32298336;0,752457817;DERMASON
3,6833;7,06838;2,587670193;1,814840642;0,836882878;DERMASON
3,0495;6,42719;2,285183296;1,701855885;0,862280048;DERMASON
3,9448;7,41596;2,796156471;1,802467702;0,801504719;DERMASON
2,513;5,9695;2,257986789;1,42143117;0,792191005;DERMASON
3,8803;7,34716;2,784685032;1,77824913;0,79819983;DERMASON
3,3794;6,65826;2,18999894;1,965777218;0,947176588;SEKER
4,237;7,53514;2,603817502;2,075408241;0,89201827;SEKER
2,7194;6,03474;2,19549956;1,58860713;0,84753619;DERMASON
2,7214;6,14362;2,290634718;1,515672906;0,812634789;DERMASON
4,4515;7,57601;2,655904698;2,139674526;0,896387437;SEKER
3,3579;6,81257;2,559395111;1,67841527;0,807888828;DERMASON
2,374;5,66508;2,050815284;1,474884517;0,847752094;DERMASON
3,7479;7,03264;2,290163681;2,08466788;0,95385538;SEKER
5,401;9,14213;3,783393914;1,829928585;0,693123442;HOROZ
3,3912;6,93109;2,676705998;1,615147148;0,776302686;DERMASON
3,9668;7,16495;2,516618099;2,009251847;0,893013236;SEKER
5,1903;9,08476;3,665447142;1,811892679;0,701333088;HOROZ
5,2974;9,00713;3,71174681;1,824051327;0,699693918;HOROZ
3,6442;7,02779;2,62707454;1,768495251;0,819943195;DERMASON
6,1626;9,91168;4,091727315;1,929183117;0,684589708;HOROZ
3,757;7,25385;2,713029612;1,764700107;0,806159772;DERMASON
4,5218;7,8851;2,694230654;2,139499604;0,890586199;SEKER
3,8891;7,91343;3,194999963;1,568696185;0,696480172;HOROZ
3,8886;7,1601;2,432801926;2,039486883;0,914628951;SEKER
4,3033;7,46785;2,596430136;2,118346101;0,901528021;SEKER
3,0107;6,37623;2,344664928;1,638948273;0,835041411;DERMASON
4,4517;7,57197;2,618157548;2,166867686;0,909331483;SEKER
3,0834;6,56296;2,339633516;1,683615206;0,846880551;DERMASON
3,7177;7,07976;2,593124748;1,829215705;0,839013251;DERMASON
4,73;8,09261;2,810139788;2,145581051;0,873288429;SEKER
4,5066;7,68715;2,684169536;2,141847085;0,892420673;SEKER
3,8233;7,22709;2,741696164;1,778508917;0,804738767;DERMASON
3,6154;6,91479;2,320572892;1,986801502;0,924566219;SEKER
5,3978;9,24848;3,661477398;1,894386666;0,71599023;HOROZ
3,3584;6,58848;2,237351826;1,913544824;0,924244739;SEKER
3,4036;6,66067;2,269280102;1,911104706;0,917352422;SEKER
5,3743;9,46992;3,953224668;1,742350636;0,661705151;HOROZ
3,1516;6,57536;2,422357999;1,66095756;0,826955762;DERMASON
4,6173;7,92175;2,866587399;2,054085909;0,845831624;SEKER
4,1774;7,97024;3,089484571;1,729136732;0,746486675;HOROZ
3,9493;7,20349;2,469105923;2,041021982;0,90818725;SEKER
3,8544;7,29235;2,759158517;1,780822378;0,802891386;DERMASON
5,5035;9,176;3,793468218;1,853905766;0,697811456;HOROZ
6,7284;10,42588;4,166992868;2,061230776;0,702405985;HOROZ
3,4861;6,99286;2,57159639;1,728389871;0,819260795;DERMASON
3,4747;6,72202;2,345404192;1,88725983;0,896800867;SEKER
2,8628;6,26577;2,310964606;1,585905524;0,826146885;DERMASON
2,3684;5,71022;2,0723373;1,458234678;0,837957788;DERMASON
5,6161;9,3682;3,911434144;1,839732217;0,683654148;HOROZ
4,9235;8,01151;2,791017679;2,248524408;0,897076424;SEKER
4,3289;7,52142;2,634774873;2,094907505;0,891046406;SEKER
3,147;6,65716;2,518677227;1,59943488;0,794750693;DERMASON
3,3325;6,74433;2,238254842;1,897357064;0,920302508;SEKER
4,2192;7,58318;2,452178698;2,19319786;0,945187567;SEKER
3,8427;7,56323;3,065338861;1,605917844;0,721597149;HOROZ
4,1505;7,35254;2,550715218;2,073937438;0,901245886;SEKER
3,7927;6,97748;2,332598714;2,071627477;0,942083231;SEKER
3,1149;6,55423;2,339520083;1,698949755;0,851236693;DERMASON
2,3644;5,64881;2,033740398;1,485885891;0,853139439;DERMASON
5,0654;8,79938;3,572338985;1,814077434;0,710901236;HOROZ
6,4099;10,18482;4,291368414;1,909777577;0,665709702;HOROZ
3,0727;6,64146;2,359200434;1,670459882;0,838398128;DERMASON
4,0504;7,27151;2,584341131;1,998847877;0,878727417;SEKER
5,0764;8,85299;3,659343485;1,774422464;0,694751992;HOROZ
6,745;10,57643;4,367972691;1,999376553;0,670912868;HOROZ
3,6828;7,12199;2,696093137;1,742239111;0,80317325;DERMASON
3,1202;6,44454;2,156406947;1,844716842;0,924305534;SEKER
3,7982;7,20626;2,706916541;1,790020612;0,812398491;DERMASON
3,7123;7,31932;2,787859993;1,706059162;0,779840224;DERMASON
4,4389;8,25922;3,166612869;1,801679484;0,750754195;HOROZ
2,6749;6,07147;2,203671319;1,551975114;0,837456033;DERMASON
3,5764;6,74477;2,221229203;2,050983639;0,960693225;SEKER
4,0335;7,40017;2,711893015;1,897444059;0,835648307;DERMASON
4,5989;7,69145;2,679785692;2,188411482;0,902987999;SEKER
2,7059;6,16194;2,210291214;1,562557684;0,839772083;DERMASON
3,4594;6,91238;2,484744093;1,793429155;0,844644159;DERMASON
3,5414;6,9742;2,589546893;1,746907701;0,820009287;DERMASON
6,5587;10,10572;4,084144656;2,072316923;0,707559272;HOROZ
3,3159;6,53801;2,224440287;1,8998042;0,923708669;SEKER
6,067;9,89284;4,023994329;1,925597288;0,690692431;HOROZ
5,9921;9,97748;3,927859811;1,953597571;0,703215778;HOROZ
5,508;9,39289;3,944555672;1,788741836;0,671357639;HOROZ
3,4501;6,8951;2,558988439;1,721093863;0,819035219;DERMASON
2,8572;6,29666;2,33195044;1,564285063;0,817911028;DERMASON
2,594;5,97074;2,238816165;1,476995476;0,811748717;DERMASON
5,7217;9,48292;3,904365064;1,878260462;0,691300996;HOROZ
3,7904;7,23594;2,614980498;1,853386629;0,840096406;DERMASON
2,6264;5,99479;2,217402597;1,512012457;0,824690406;DERMASON
3,5189;6,90684;2,530728123;1,778752407;0,836398087;DERMASON
6,1261;10,06386;4,236661676;1,854672365;0,659209285;HOROZ
5,2425;9,02449;3,727634141;1,804026485;0,693092179;HOROZ
6,1811;9,78904;3,899334902;2,027154975;0,719444683;HOROZ
2,5757;6,20685;2,382027642;1,389055878;0,760249077;DERMASON
4,5252;7,86514;2,699056337;2,15013446;0,889328067;SEKER
3,9318;7,46921;2,798154344;1,794510188;0,79961163;DERMASON
5,1219;8,94249;3,458968434;1,891068871;0,738284938;HOROZ
3,2036;6,65675;2,485658622;1,644457259;0,812517492;DERMASON
3,0862;6,58184;2,478083675;1,58891659;0,799928419;DERMASON
3,2213;6,58216;2,214811143;1,852954324;0,914395217;SEKER
2,5165;6,02666;2,317650268;1,386561058;0,772334837;DERMASON
5,017;8,10208;2,771151484;2,307938036;0,91204621;SEKER
5,6761;9,59439;3,983767662;1,820855177;0,674817096;HOROZ
3,5838;7,04329;2,583012597;1,771988444;0,826990304;DERMASON
4,1408;7,56571;2,871576793;1,841275133;0,799607303;DERMASON
4,3525;7,62479;2,82820459;1,961182941;0,832364647;SEKER
2,3992;5,63407;2,01021699;1,521514111;0,869451471;DERMASON
4,52;8,73211;3,571308499;1,628601044;0,671733348;HOROZ
3,8824;7,41523;2,737411234;1,811418258;0,812204055;DERMASON
2,768;6,08736;2,243338804;1,572893366;0,836841547;DERMASON
2,9756;6,35482;2,377558875;1,597211444;0,818674106;DERMASON
3,2152;6,75913;2,400416912;1,707982678;0,842892866;DERMASON
5,2889;9,23455;3,786667943;1,785070772;0,685299656;HOROZ
4,2811;7,5258;2,668535388;2,048105217;0,874902745;SEKER
4,1451;7,57604;2,826748516;1,872938924;0,812709605;DERMASON
3,9215;7,09517;2,445157546;2,047266034;0,91384875;SEKER
4,721;7,91788;2,771429371;2,171949246;0,884643405;SEKER
4,6119;7,74893;2,581131983;2,278827401;0,938825307;SEKER
4,1323;7,9535;2,619883659;2,010000217;0,875525854;SEKER
3,4445;6,76892;2,466615423;1,779715268;0,849017635;DERMASON
3,3103;6,73502;2,516665948;1,679170796;0,815761422;DERMASON
3,1978;6,5938;2,455456011;1,666631267;0,821766722;DERMASON
3,1453;6,55601;2,427591222;1,657118113;0,824347905;DERMASON
3,1091;6,38558;2,104862549;1,883268476;0,945254305;SEKER
4,6371;8,10787;2,813781027;2,103387961;0,863551004;SEKER
2,6884;6,04484;2,304786449;1,491357098;0,802733358;DERMASON
2,8107;6,29312;2,415146029;1,486361471;0,783283379;DERMASON
3,429;6,84886;2,544472911;1,721170076;0,821184929;DERMASON
4,8067;7,91313;2,715494225;2,257855432;0,91102372;SEKER
3,1558;6,56453;2,429485646;1,669923013;0,825078856;DERMASON
3,4125;6,80111;2,551070378;1,705366051;0,81708822;DERMASON
4,39;8,39181;3,471792098;1,622413926;0,680978827;HOROZ
3,053;7,24734;2,703348303;1,448744959;0,729317202;DERMASON
5,2812;9,18444;3,772080714;1,825755884;0,68744885;HOROZ
3,4288;6,85929;2,546030427;1,719706283;0,820658641;DERMASON
4,1637;7,52604;2,831175686;1,877286654;0,813257271;DERMASON
2,927;6,43229;2,457317532;1,521817733;0,785606632;DERMASON
3,8706;7,20119;2,588464423;1,907525632;0,85763403;DERMASON
3,5634;6,85864;2,351230447;1,932178621;0,905924803;SEKER
3,1249;6,48912;2,37887999;1,67564227;0,838495214;DERMASON
4,0552;7,41016;2,763576019;1,874512838;0,822223306;DERMASON
3,9577;7,33731;2,737498462;1,843631701;0,820016537;DERMASON
3,6349;6,86851;2,265198481;2,048168758;0,949718792;SEKER
2,907;6,37119;2,419412146;1,530790439;0,795184157;DERMASON
5,7419;9,42998;3,713359336;1,980167964;0,728141685;HOROZ
3,6166;6,93373;2,268299222;2,033922504;0,946030099;SEKER
3,1579;7,36514;2,503311924;1,612805206;0,801012471;DERMASON
3,586;7,08973;2,742225823;1,67103004;0,779214429;DERMASON
5,3434;9,18473;3,676290579;1,855455883;0,70950273;HOROZ
3,9061;7,39395;2,723422598;1,828147714;0,818863854;DERMASON
3,5062;7,01948;2,232641008;2,002523714;0,946355923;SEKER
4,4594;8,46716;3,538563544;1,615875876;0,673389399;HOROZ
6,5561;10,19868;4,307485527;1,950269262;0,670739707;HOROZ
4,6028;7,79483;2,627993586;2,234295487;0,921174295;SEKER
2,6578;6,07052;2,271450768;1,495171858;0,809865465;DERMASON
3,3777;6,995;2,472041231;1,745063749;0,838899405;DERMASON
5,1994;9,21338;3,834577493;1,730682517;0,670987076;HOROZ
3,4337;6,67785;2,298067605;1,906295846;0,909857612;SEKER
4,1126;7,46459;2,694241243;1,946013744;0,849330685;SEKER
4,121;8,02191;3,03233757;1,789334443;0,755403199;HOROZ
2,2455;5,61438;2,102269269;1,37798038;0,80430959;DERMASON
3,1901;6,58995;2,408731705;1,691496358;0,836698092;DERMASON
4,0119;7,34219;2,647946821;1,931224646;0,853534048;SEKER
5,6404;9,22589;3,603630769;2,045914823;0,743651956;HOROZ
2,6461;6,07791;2,318829082;1,456264258;0,79157022;DERMASON
4,3964;7,95449;2,667102618;2,101685413;0,887082339;SEKER
3,3539;6,62418;2,236835362;1,912006021;0,923838579;SEKER
2,5721;6,05986;2,36325713;1,389916616;0,765751766;DERMASON
2,803;6,39705;2,288356922;1,57042302;0,825548979;DERMASON
4,207;7,63489;2,890223734;1,861234339;0,800773794;DERMASON
4,5993;7,73877;2,705475939;2,166622932;0,894452439;SEKER
3,8426;7,0922;2,443886801;2,00506918;0,905079155;SEKER
3,8602;7,12975;2,469570943;1,992321307;0,897714946;SEKER
5,6178;9,39382;3,829148532;1,878800169;0,698451064;HOROZ
5,1896;9,05698;3,632816718;1,824213717;0,707584831;HOROZ
3,2701;6,54784;2,320115854;1,802860663;0,879479872;DERMASON
2,4258;5,7062;2,077406156;1,489945674;0,845982036;DERMASON
5,4261;9,22242;3,774947726;1,839174156;0,696286563;HOROZ
4,8992;8,83881;3,667142971;1,709323765;0,681066943;HOROZ
3,0994;6,50335;2,382842684;1,659321726;0,83367831;DERMASON
2,7218;6,00994;2,155748405;1,616778719;0,863545232;DERMASON
5,1552;8,90528;3,638436901;1,810721152;0,704146413;HOROZ
6,4062;10,02749;4,047691989;2,02128944;0,705582578;HOROZ
2,7866;6,11215;2,2725766;1,564196958;0,828845999;DERMASON
2,6956;6,07337;2,294683068;1,4991654;0,807346696;DERMASON
3,4306;6,86346;2,557241207;1,712337457;0,817275362;DERMASON
4,4417;7,69784;2,777135197;2,038245272;0,856313218;SEKER
3,3567;6,83629;2,512995888;1,711022411;0,822658417;DERMASON
2,7353;6,52432;2,253461477;1,553221377;0,828146944;DERMASON
4,3946;7,69228;2,728279374;2,056476576;0,867013571;SEKER
6,4351;10,30083;4,05261815;2,028699194;0,706312715;HOROZ
3,3687;6,75875;2,504412967;1,716043472;0,826951966;DERMASON
3,7089;7,59483;3,043769382;1,563433159;0,713946843;HOROZ
3,0708;6,5927;2,506504374;1,565493905;0,788882566;DERMASON
3,7443;7,32327;2,77979959;1,720699297;0,785465097;DERMASON
3,196;6,73383;2,528375753;1,616667538;0,797841877;DERMASON
4,282;7,5013;2,651422695;2,063057277;0,880642055;SEKER
6,6106;10,47596;4,320923916;1,953759266;0,671427121;HOROZ
6,5091;10,22129;4,205230297;1,983662108;0,684582427;HOROZ
3,2283;6,7337;2,572697121;1,602294838;0,788049217;DERMASON
3,6591;6,99564;2,583017795;1,806185192;0,835631496;DERMASON
3,5139;6,96413;2,573099272;1,743680657;0,822040503;DERMASON
2,7166;6,39697;2,317196861;1,497418292;0,802610757;DERMASON
5,148;8,97604;3,579271538;1,884856465;0,715285929;HOROZ
6,7353;10,55855;4,376707663;1,970169148;0,669092239;HOROZ
3,2398;6,85704;2,579887038;1,601744636;0,78725145;DERMASON
5,7493;9,59576;3,894781481;1,892132276;0,694671447;HOROZ
2,9847;6,3668;2,358150005;1,617746223;0,826673421;DERMASON
3,1193;6,59196;2,419689602;1,649914748;0,823614481;DERMASON
5,3042;8,96923;3,596497681;1,891927189;0,722578808;HOROZ
2,9948;6,36964;2,311941469;1,654664022;0,844621508;DERMASON
5,9274;9,52086;3,920449958;1,934168731;0,70073089;HOROZ
3,5254;6,87045;2,250636401;1,996920336;0,941356056;SEKER
3,5326;7,13346;2,692918233;1,680892971;0,787551793;DERMASON
4,3077;8,30696;3,49041044;1,587692156;0,670967192;HOROZ
3,3731;6,8088;2,547059001;1,690931581;0,813636949;DERMASON
4,8433;8,0354;2,694073367;2,290584799;0,921756749;SEKER
3,2951;6,77454;2,451507948;1,71357353;0,835518467;DERMASON
6,226;9,78069;3,799616253;2,100652357;0,741002854;HOROZ
3,7679;7,07574;2,424523172;1,981308566;0,903396501;SEKER
6,7884;10,89592;4,237583854;2,060546751;0,693777908;HOROZ
3,9764;7,22344;2,527578302;2,005577303;0,890216159;SEKER
5,2;8,97688;3,577416469;1,863790352;0,719262187;HOROZ
2,5881;5,90606;2,196603168;1,504233951;0,826406986;DERMASON
3,1021;6,45054;2,383215147;1,661166801;0,833911006;DERMASON
3,505;6,94856;2,609576396;1,712414834;0,809522744;DERMASON
5,7534;9,3989;3,869711609;1,897638747;0,699421122;HOROZ
3,6934;7,15983;2,712667818;1,740412028;0,799413755;DERMASON
2,6698;5,97935;2,075660434;1,64228792;0,888255932;DERMASON
5,9189;9,56133;3,968444772;1,911172439;0,69175964;HOROZ
4,6907;8,57564;3,355606652;1,8123514;0,728287476;HOROZ
5,3444;9,44057;3,932035226;1,748887391;0,663417826;HOROZ
3,3373;6,80142;2,51939614;1,69003413;0,818193875;DERMASON
4,8207;8,72255;3,613120609;1,707479672;0,685689743;HOROZ
6,1658;10,44245;4,015379991;1,973196671;0,697787404;HOROZ
4,0548;7,37736;2,668840826;1,937009572;0,851367575;DERMASON
2,8354;6,28104;2,317005474;1,56448003;0,820040246;DERMASON
2,847;6,24257;2,322100188;1,570196724;0,819913126;DERMASON
5,1531;8,9444;3,498420573;1,891468941;0,732179097;HOROZ
3,2798;6,61676;2,313968745;1,81234626;0,883123113;DERMASON
3,7884;7,03214;2,465148776;1,959839049;0,890922318;SEKER
4,0091;7,27083;2,613132862;1,95560116;0,864603546;SEKER
4,7801;8,6333;3,586060299;1,70263653;0,687948555;HOROZ
3,4748;6,69267;2,210904959;2,002691414;0,951370963;SEKER
4,1949;7,44319;2,67657979;1,998148237;0,863446973;SEKER
2,9294;6,44536;2,388184262;1,565272034;0,808679746;DERMASON
3,9276;7,20452;2,604767598;1,922367397;0,858518591;SEKER
5,1492;8,67948;3,475726681;1,892910008;0,736680751;HOROZ
3,1561;6,51027;2,347007196;1,717635206;0,854114344;DERMASON
4,4543;7,64877;2,698147058;2,105971091;0,882630996;SEKER
5,1275;8,93525;3,643111537;1,800380199;0,701351009;HOROZ
3,5545;7,20761;2,616638997;1,734719121;0,813018652;DERMASON
6,1331;9,81574;4,056477603;1,934560457;0,688883844;HOROZ
2,6859;6,06793;2,169853438;1,581495565;0,85225504;DERMASON
4,0459;7,33681;2,479781156;2,080100795;0,915270102;SEKER
5,0855;8,93015;3,642368915;1,793222023;0,698615083;HOROZ
6,6091;10,43887;4,240714337;1,993814395;0,684048984;HOROZ
4,1874;7,57202;2,508892141;2,127029533;0,920333631;SEKER
4,2018;7,42118;2,528851414;2,119111119;0,914638409;SEKER
3,6525;7,10788;2,652592743;1,762312207;0,8129795;DERMASON
3,8404;7,34438;2,799279238;1,759157134;0,789945386;DERMASON
2,7239;6,13129;2,243137021;1,547945165;0,830223144;DERMASON
4,5735;7,76332;2,671302742;2,18329889;0,903350504;SEKER
2,7755;6,1278;2,223813023;1,595703025;0,845332188;DERMASON
5,4704;9,34794;3,801001028;1,846131893;0,694331093;HOROZ
3,5069;6,92225;2,342366519;1,912138075;0,902114988;SEKER
5,4954;9,17472;3,476613338;2,048505384;0,760848733;HOROZ
3,5353;6,89072;2,520301948;1,791753345;0,841812986;DERMASON
6,321;10,02819;4,169757411;1,949538804;0,680357482;HOROZ
5,1653;8,89077;3,610650176;1,830960548;0,710260105;HOROZ
5,7164;9,18841;3,559684561;2,066538915;0,757887684;HOROZ
3,7654;7,2214;2,667900359;1,801860878;0,820712434;DERMASON
5,8222;9,45639;3,780463661;1,969372169;0,72020072;HOROZ
3,8345;7,17637;2,636003887;1,857124368;0,838230355;DERMASON
4,1616;7,48956;2,566675385;2,069151929;0,896838577;SEKER
3,1637;6,56711;2,297192546;1,75510446;0,873685862;SEKER
